ecosystem	name	version	license	source
npm	@anthropic-ai/sdk	0.91.1	MIT	https://registry.npmjs.org/@anthropic-ai/sdk/-/sdk-0.91.1.tgz
npm	@aws-crypto/sha256-browser	5.2.0	Apache-2.0	https://registry.npmjs.org/@aws-crypto/sha256-browser/-/sha256-browser-5.2.0.tgz
npm	@aws-crypto/sha256-js	5.2.0	Apache-2.0	https://registry.npmjs.org/@aws-crypto/sha256-js/-/sha256-js-5.2.0.tgz
npm	@aws-crypto/supports-web-crypto	5.2.0	Apache-2.0	https://registry.npmjs.org/@aws-crypto/supports-web-crypto/-/supports-web-crypto-5.2.0.tgz
npm	@aws-crypto/util	5.2.0	Apache-2.0	https://registry.npmjs.org/@aws-crypto/util/-/util-5.2.0.tgz
npm	@aws-sdk/client-bedrock-runtime	3.1048.0	Apache-2.0	https://registry.npmjs.org/@aws-sdk/client-bedrock-runtime/-/client-bedrock-runtime-3.1048.0.tgz
npm	@aws-sdk/core	3.977.8	Apache-2.0	https://registry.npmjs.org/@aws-sdk/core/-/core-3.977.8.tgz
npm	@aws-sdk/credential-provider-env	3.972.69	Apache-2.0	https://registry.npmjs.org/@aws-sdk/credential-provider-env/-/credential-provider-env-3.972.69.tgz
npm	@aws-sdk/credential-provider-http	3.972.71	Apache-2.0	https://registry.npmjs.org/@aws-sdk/credential-provider-http/-/credential-provider-http-3.972.71.tgz
npm	@smithy/node-http-handler	4.11.2	Apache-2.0	https://registry.npmjs.org/@smithy/node-http-handler/-/node-http-handler-4.11.2.tgz
npm	@aws-sdk/credential-provider-ini	3.973.14	Apache-2.0	https://registry.npmjs.org/@aws-sdk/credential-provider-ini/-/credential-provider-ini-3.973.14.tgz
npm	@aws-sdk/credential-provider-login	3.972.76	Apache-2.0	https://registry.npmjs.org/@aws-sdk/credential-provider-login/-/credential-provider-login-3.972.76.tgz
npm	@aws-sdk/credential-provider-node	3.972.80	Apache-2.0	https://registry.npmjs.org/@aws-sdk/credential-provider-node/-/credential-provider-node-3.972.80.tgz
npm	@aws-sdk/credential-provider-process	3.972.69	Apache-2.0	https://registry.npmjs.org/@aws-sdk/credential-provider-process/-/credential-provider-process-3.972.69.tgz
npm	@aws-sdk/credential-provider-sso	3.973.13	Apache-2.0	https://registry.npmjs.org/@aws-sdk/credential-provider-sso/-/credential-provider-sso-3.973.13.tgz
npm	@aws-sdk/token-providers	3.1111.0	Apache-2.0	https://registry.npmjs.org/@aws-sdk/token-providers/-/token-providers-3.1111.0.tgz
npm	@aws-sdk/credential-provider-web-identity	3.972.75	Apache-2.0	https://registry.npmjs.org/@aws-sdk/credential-provider-web-identity/-/credential-provider-web-identity-3.972.75.tgz
npm	@aws-sdk/eventstream-handler-node	3.972.33	Apache-2.0	https://registry.npmjs.org/@aws-sdk/eventstream-handler-node/-/eventstream-handler-node-3.972.33.tgz
npm	@aws-sdk/middleware-eventstream	3.972.28	Apache-2.0	https://registry.npmjs.org/@aws-sdk/middleware-eventstream/-/middleware-eventstream-3.972.28.tgz
npm	@aws-sdk/middleware-websocket	3.972.51	Apache-2.0	https://registry.npmjs.org/@aws-sdk/middleware-websocket/-/middleware-websocket-3.972.51.tgz
npm	@aws-sdk/nested-clients	3.997.43	Apache-2.0	https://registry.npmjs.org/@aws-sdk/nested-clients/-/nested-clients-3.997.43.tgz
npm	@smithy/node-http-handler	4.11.2	Apache-2.0	https://registry.npmjs.org/@smithy/node-http-handler/-/node-http-handler-4.11.2.tgz
npm	@aws-sdk/signature-v4-multi-region	3.996.45	Apache-2.0	https://registry.npmjs.org/@aws-sdk/signature-v4-multi-region/-/signature-v4-multi-region-3.996.45.tgz
npm	@aws-sdk/token-providers	3.1048.0	Apache-2.0	https://registry.npmjs.org/@aws-sdk/token-providers/-/token-providers-3.1048.0.tgz
npm	@aws-sdk/types	3.974.4	Apache-2.0	https://registry.npmjs.org/@aws-sdk/types/-/types-3.974.4.tgz
npm	@aws-sdk/util-locate-window	3.965.10	Apache-2.0	https://registry.npmjs.org/@aws-sdk/util-locate-window/-/util-locate-window-3.965.10.tgz
npm	@aws-sdk/xml-builder	3.972.39	Apache-2.0	https://registry.npmjs.org/@aws-sdk/xml-builder/-/xml-builder-3.972.39.tgz
npm	@aws/lambda-invoke-store	0.3.0	Apache-2.0	https://registry.npmjs.org/@aws/lambda-invoke-store/-/lambda-invoke-store-0.3.0.tgz
npm	@babel/code-frame	7.29.7	MIT	https://registry.npmjs.org/@babel/code-frame/-/code-frame-7.29.7.tgz
npm	@babel/helper-validator-identifier	7.29.7	MIT	https://registry.npmjs.org/@babel/helper-validator-identifier/-/helper-validator-identifier-7.29.7.tgz
npm	@babel/runtime	7.29.7	MIT	https://registry.npmjs.org/@babel/runtime/-/runtime-7.29.7.tgz
npm	@deepseek-ai/cordis	4.0.1	MIT	https://registry.npmjs.org/@deepseek-ai/cordis/-/cordis-4.0.1.tgz
npm	@deepseek-ai/cordis-plugin-group	1.0.1	MIT	https://registry.npmjs.org/@deepseek-ai/cordis-plugin-group/-/cordis-plugin-group-1.0.1.tgz
npm	@deepseek-ai/cordis-plugin-hmr	1.0.16	MIT	https://registry.npmjs.org/@deepseek-ai/cordis-plugin-hmr/-/cordis-plugin-hmr-1.0.16.tgz
npm	@deepseek-ai/cordis-plugin-include	1.0.6	MIT	https://registry.npmjs.org/@deepseek-ai/cordis-plugin-include/-/cordis-plugin-include-1.0.6.tgz
npm	@deepseek-ai/cordis-plugin-loader	1.0.2	MIT	https://registry.npmjs.org/@deepseek-ai/cordis-plugin-loader/-/cordis-plugin-loader-1.0.2.tgz
npm	@deepseek-ai/cordis-plugin-timer	1.1.3	MIT	https://registry.npmjs.org/@deepseek-ai/cordis-plugin-timer/-/cordis-plugin-timer-1.1.3.tgz
npm	@deepseek-ai/cosmokit	1.8.2	MIT	https://registry.npmjs.org/@deepseek-ai/cosmokit/-/cosmokit-1.8.2.tgz
npm	@deepseek-ai/dsh	0.1.0-rc.7	MIT	https://registry.npmjs.org/@deepseek-ai/dsh/-/dsh-0.1.0-rc.7.tgz
npm	@deepseek-ai/dsh-agent	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-agent/-/dsh-agent-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-agent-default-model	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-agent-default-model/-/dsh-agent-default-model-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-agent-instructions	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-agent-instructions/-/dsh-agent-instructions-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-agent-loop	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-agent-loop/-/dsh-agent-loop-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-agent-presets	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-agent-presets/-/dsh-agent-presets-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-agent-tool-presentation	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-agent-tool-presentation/-/dsh-agent-tool-presentation-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-anonymous-user-id	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-anonymous-user-id/-/dsh-anonymous-user-id-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-api-gateway	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-api-gateway/-/dsh-api-gateway-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-api-remotes	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-api-remotes/-/dsh-api-remotes-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-app-boot	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-app-boot/-/dsh-app-boot-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-atomic-write	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-atomic-write/-/dsh-atomic-write-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-attachment	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-attachment/-/dsh-attachment-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-attachment-local	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-attachment-local/-/dsh-attachment-local-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-base	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-base/-/dsh-base-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-bash-local	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-bash-local/-/dsh-bash-local-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-bash-sandbox	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-bash-sandbox/-/dsh-bash-sandbox-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-brand	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-brand/-/dsh-brand-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-client-connection	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-client-connection/-/dsh-client-connection-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-client-hmr	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-client-hmr/-/dsh-client-hmr-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-client-locale	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-client-locale/-/dsh-client-locale-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-client-modules	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-client-modules/-/dsh-client-modules-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-client-runtime	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-client-runtime/-/dsh-client-runtime-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-client-ui-agent-preset	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-client-ui-agent-preset/-/dsh-client-ui-agent-preset-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-client-ui-attachment	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-client-ui-attachment/-/dsh-client-ui-attachment-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-client-ui-brand-official	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-client-ui-brand-official/-/dsh-client-ui-brand-official-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-client-ui-commands	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-client-ui-commands/-/dsh-client-ui-commands-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-client-ui-conversation	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-client-ui-conversation/-/dsh-client-ui-conversation-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-client-ui-cordis	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-client-ui-cordis/-/dsh-client-ui-cordis-0.1.0-rc.8.tgz
npm	@deepseek-ai/dsh-client-ui-deliverables	0.1.0-rc.8	MIT	https://registry.npmjs.org/@deepseek-ai/dsh-client-ui-deliverables/-/dsh-client-ui-deliverables-0.1.0-rc.8.tgz
